id,name,active
TIPO_INFRACCION_01,Matrícula y/o carnet Marítimo Mercante caducado,TRUE
TIPO_INFRACCION_02,Sin matrícula y/o carnet marítimo mercante,TRUE
TIPO_INFRACCION_03,Matrícula de nave caducada,TRUE
TIPO_INFRACCION_04,Sin Zarpe,TRUE
TIPO_INFRACCION_05,Sin Pabellón,TRUE
TIPO_INFRACCION_06,Sin matrícula de la nave,TRUE
TIPO_INFRACCION_07,Sin implementos básicos de la seguridad,TRUE
TIPO_INFRACCION_08,Por falta de requisitos de zarpe,TRUE
TIPO_INFRACCION_09,Por no firmar embarque y desembarque,TRUE
TIPO_INFRACCION_10,Navegación irregular en aguas territoriales,TRUE
TIPO_INFRACCION_11,Acceso de personas extrañas al buque,TRUE
TIPO_INFRACCION_12,Varar o desvarar sin autorización,TRUE
TIPO_INFRACCION_13,"Construcción, carena o reparación de naves sin licencia o aut.",TRUE
TIPO_INFRACCION_14,No tener bitácoras a bordo o no llegar a tiempo al registro de las mismas por la autoridad marrítima,TRUE
TIPO_INFRACCION_15,Por falta de comparecencia en la fecha señalada,TRUE
TIPO_INFRACCION_16,Irrespeto a la autoridad marítima,TRUE
TIPO_INFRACCION_17,Embarcaciones menores abandonadas por sus patrones,TRUE
TIPO_INFRACCION_18,Por tener Muelles desaseados,TRUE
TIPO_INFRACCION_19,Inasistencia injustificada de tripulante,TRUE
TIPO_INFRACCION_20,Deshonestidad,TRUE
TIPO_INFRACCION_21,Ocupación ilegal de playa,TRUE
TIPO_INFRACCION_22,Maltrato o muerte de aves o animales marinos inofensivos,TRUE
TIPO_INFRACCION_23,Escándalos o pendencias,TRUE
TIPO_INFRACCION_24,Baño de animales o introducción de vehículos en los balnearios,TRUE
TIPO_INFRACCION_25,Caza de iguanas y lobos de mar,TRUE
TIPO_INFRACCION_26,Disparo de armas de fuego,TRUE
TIPO_INFRACCION_27,Pesca de especies en época de veda,TRUE
TIPO_INFRACCION_28,Incorrección en el vestido o en el lenguaje,TRUE
TIPO_INFRACCION_29,Ingreso irregular de comerciantes en embarcaciones,TRUE
TIPO_INFRACCION_30,Por retención de objetos olvidados,TRUE
TIPO_INFRACCION_31,Por descuido respecto de ebrios,TRUE
TIPO_INFRACCION_32,Falta injustificada de oficiales o suboficiales,TRUE
TIPO_INFRACCION_33,Por recepción indebida de menores a la embarcación,TRUE
TIPO_INFRACCION_34,Por negativa de servir a pasajeros o tripulantes,TRUE
TIPO_INFRACCION_35,Por juego en lugares públicos,TRUE
TIPO_INFRACCION_36,Omisión de pasajeros en las listas,TRUE
